Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-12 14:08    |    stål       |    100,0000    |     0,001245    |    0,704109    |         0,801486         |        8,014859       |      8,004347     |      8,054556     |    0,627274
2024-11-12 14:08    |    stål       |    100,0000    |     0,000325    |    0,184971    |         0,796173         |        7,961733       |      7,947288     |      7,973762     |    0,333119
2024-11-12 14:09    |    stål       |    100,0000    |     0,000360    |    0,203295    |         0,801945         |        8,019452       |      8,017685     |      8,021618     |    0,049058
2024-11-12 14:09    |    stål       |    100,0000    |     0,000453    |    0,256306    |         0,800490         |        8,004900       |      8,002980     |      8,007505     |    0,056542
2024-11-12 14:09    |    stål       |    100,0000    |     0,000266    |    0,151634    |         0,796162         |        7,961624       |      7,957041     |      7,965538     |    0,106790
2024-11-12 14:10    |    stål       |    100,0000    |     0,000364    |    0,207153    |         0,797256         |        7,972564       |      7,969102     |      7,974785     |    0,071315
2024-11-12 14:11    |    stål       |    100,0000    |     0,000365    |    0,206988    |         0,799182         |        7,991816       |      7,980932     |      8,008086     |    0,340231
2024-11-12 14:11    |    stål       |    100,0000    |     0,000428    |    0,243041    |         0,797255         |        7,972546       |      7,969289     |      7,975693     |    0,080360
2024-11-12 14:11    |    stål       |    100,0000    |     0,000280    |    0,161024    |         0,786781         |        7,867807       |      7,859872     |      7,875280     |    0,196041
2024-11-12 14:12    |    stål       |    100,0000    |     0,000672    |    0,372716    |         0,817713         |        8,177131       |      8,174226     |      8,189768     |    0,190132
2024-11-12 14:12    |    stål       |    100,0000    |     0,000337    |    0,187505    |         0,813661         |        8,136609       |      8,134985     |      8,138712     |    0,045818
2024-11-12 14:13    |    stål       |    100,0000    |     0,000369    |    0,203780    |         0,821100         |        8,211001       |      8,208706     |      8,212976     |    0,052022
