Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-19 08:26    |    Stål       |    50,00000    |     0,000311    |    0,200630    |         0,350964         |        7,019277       |      7,011933     |      7,043885     |    0,455678
2024-11-19 08:27    |    Stål       |    50,00000    |     0,000311    |    0,200638    |         0,351757         |        7,035142       |      7,023938     |      7,051199     |    0,388113
2024-11-19 08:27    |    Stål       |    50,00000    |     0,000313    |    0,200613    |         0,353374         |        7,067475       |      7,060402     |      7,077817     |    0,246661
2024-11-19 08:28    |    Stål       |    50,00000    |     0,000312    |    0,200598    |         0,351909         |        7,038182       |      7,036682     |      7,039920     |    0,046023
2024-11-19 08:28    |    Stål       |    50,00000    |     0,000316    |    0,200598    |         0,356695         |        7,133908       |      7,127277     |      7,139745     |    0,174946
2024-11-19 08:28    |    Stål       |    50,00000    |     0,000321    |    0,200604    |         0,363067         |        7,261333       |      7,250116     |      7,271848     |    0,299750
2024-11-19 08:29    |    Stål       |    50,00000    |     0,000308    |    0,200625    |         0,348333         |        6,966662       |      6,959251     |      6,972148     |    0,185318
2024-11-19 08:29    |    Stål       |    50,00000    |     0,000311    |    0,200617    |         0,351630         |        7,032597       |      7,014227     |      7,047450     |    0,473652
2024-11-19 08:30    |    Stål       |    50,00000    |     0,000309    |    0,200633    |         0,349429         |        6,988587       |      6,955911     |      7,000283     |    0,637898
2024-11-19 08:30    |    Stål       |    50,00000    |     0,000316    |    0,200620    |         0,357080         |        7,141597       |      7,137361     |      7,146230     |    0,124260
